project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2008900,OCPF08_M314_20250413,OCPF08,-83.345981,8.407156,2025-04-13 00:00:00,2025-04-17 00:00:00,None,,Other,,2138782,M314,1,Camera Functioning,Knee height,,Parallel,,,,0,Piro Restoration Experiment Monitoring,,,,,,
2008900,OCPM02_M299_20250810,OCPM02,-83.355395,8.41111,2025-08-10 00:00:00,2025-09-12 00:00:00,None,,Road dirt,off trail,2141004,M299,1,Camera Functioning,Other,41,Parallel,,,,,Piro Restoration Experiment Monitoring,,,,,,
2008900,OCPH06_M309_2025-02-16,OCPH06,-83.352651,8.408257,2025-02-16 00:00:00,2025-02-19 00:00:00,None,,Other,,2139290,M309,1,Camera Functioning,Knee height,,Parallel,,,,0,Piro Restoration Experiment Monitoring,,,,,,
2008900,OCPH08_M294_2025-02-19,OCPH08,-83.349762,8.409197,2025-02-19 00:00:00,2025-03-21 00:00:00,None,,Other,,2138783,M294,1,Camera Functioning,Knee height,,Parallel,,,,0,Piro Restoration Experiment Monitoring,,,,,,
2008900,OCPF09_M294_20250417,OCPF09,-83.344795,8.413405,2025-04-17 00:00:00,2025-05-29 00:00:00,None,,Other,,2138783,M294,1,Camera Functioning,Knee height,,Parallel,,,,0,Piro Restoration Experiment Monitoring,,,,,,
2008900,OCPN09_M240_20250807,OCPN09,-83.351395,8.403628,2025-08-07 00:00:00,2025-09-12 00:00:00,None,,Road dirt,off trail,2120686,M240,1,Camera Functioning,Other,50,Parallel,,,,,Piro Restoration Experiment Monitoring,,,,,,
2008900,OCPH07_M281_2025-02-19,OCPH07,-83.35167,8.409142,2025-02-19 00:00:00,2025-03-21 00:00:00,None,,Other,,2139005,M281,1,Camera Functioning,Knee height,,Parallel,,,,0,Piro Restoration Experiment Monitoring,,,,,,
2008900,OCPF03_M286_20250413,OCPF03,-83.34554,8.417109,2025-04-13 00:00:00,2025-04-17 00:00:00,None,,Other,,2138499,M286,1,Camera Functioning,Knee height,,Parallel,,,,0,Piro Restoration Experiment Monitoring,,,,,,
2008900,OCPN07_M300_20250216,OCPN07,-83.353079,8.40867,2025-02-16 00:00:00,2025-03-19 00:00:00,None,,Other,off trail,2141277,M300,1,Camera Functioning,Other,27,Parallel,,,,,Piro Restoration Experiment Monitoring,,,,,,
2008900,OCPL02_M316_20250219,OCPL02,-83.355913,8.411467,2025-02-19 00:00:00,2025-03-22 00:00:00,None,,Other,off trail,2140994,M316,1,Camera Functioning,Other,33,Parallel,,,,,Piro Restoration Experiment Monitoring,,,,,,
2008900,OCPM09_M283_20250804,OCPM09,-83.349847,8.403045,2025-08-04 00:00:00,2025-08-07 00:00:00,None,,Road dirt,off trail,2138923,M283,1,Camera Functioning,Other,52,Parallel,,,,,Piro Restoration Experiment Monitoring,,,,,,
2008900,OCPN08_M301_20250216,OCPN08,-83.349893,8.408109,2025-02-16 00:00:00,2025-03-19 00:00:00,None,,Other,,2138496,M301,1,Camera Functioning,Knee height,,Parallel,,,,0,Piro Restoration Experiment Monitoring,,,,,,
2008900,OCPN02_M319_2025-02-13,OCPN02,-83.354197,8.413807,2025-02-13 00:00:00,2025-02-19 00:00:00,None,,Other,,2139108,M319,1,Camera Functioning,Knee height,,Parallel,,,,0,Piro Restoration Experiment Monitoring,,,,,,
2008900,OCPH07_M281_2025-02-17,OCPH07,-83.35167,8.409142,2025-02-17 00:00:00,2025-02-19 00:00:00,None,,Other,,2139005,M281,1,Camera Functioning,Knee height,,Parallel,,,,0,Piro Restoration Experiment Monitoring,,,,,,
2008900,OCPH02_M282_2025-02-19,OCPH02,-83.35541,8.412925,2025-02-19 00:00:00,2025-03-22 00:00:00,None,,Other,,2138502,M282,1,Camera Functioning,Knee height,,Parallel,,,,0,Piro Restoration Experiment Monitoring,,,,,,
2008900,OCPH04_M283_2025-02-19,OCPH04,-83.355592,8.410632,2025-02-19 00:00:00,2025-03-22 00:00:00,None,,Other,,2138923,M283,1,Camera Functioning,Knee height,,Parallel,,,,0,Piro Restoration Experiment Monitoring,,,,,,
2008900,OCPL04_M284_20250807,OCPL04,-83.355944,8.405376,2025-08-07 00:00:00,2025-08-23 00:00:00,None,,Road dirt,off trail,2138911,M284,1,Unknown Failure,Other,42,Parallel,,,,,Piro Restoration Experiment Monitoring,,,,,,
2008900,OCPL04_M308_20250219,OCPL04,-83.355944,8.405376,2025-02-19 00:00:00,2025-03-21 00:00:00,None,,Other,off trail,2138497,M308,1,Camera Functioning,Other,46,Parallel,,,,,Piro Restoration Experiment Monitoring,,,,,,
