"STUDY","STATION","X","Y","START","END","STRATA","TRAIL","EFFORT"
"OSAGRID","G1_a",-83.47755,8.8462,"2018-03-12",NA,"terrestrial",NA,NA
"OSAGRID","G1_b",-83.47755,8.8462,"2018-03-12",NA,"terrestrial",NA,NA
"OSAGRID","G4_a",-83.50772,8.81465,"2018-02-10","2018-06-20","terrestrial",NA,130
"OSAGRID","G4_b",-83.50772,8.81465,"2018-02-10","2018-06-20","terrestrial",NA,130
"OSAGRID","G5_a",-83.47946,8.80635,"2018-02-12","2018-06-22","terrestrial",NA,130
"OSAGRID","G5_b",-83.47946,8.80635,"2018-02-12","2018-06-22","terrestrial",NA,130
"OSAGRID","G7_a",-83.40003,8.808267,"2018-03-10","2018-07-06","terrestrial",NA,118
"OSAGRID","G7_b",NA,NA,"2018-03-10",NA,"terrestrial",NA,NA
"OSAGRID","G8_a",-83.36655,8.80339,"2018-03-09","2018-03-14","terrestrial",NA,5
"OSAGRID","G8_b",-83.36655,8.80339,"2018-03-09",NA,"terrestrial",NA,NA
"OSAGRID","G9_a",-83.32972222,8.81166667,"2018-02-21",NA,"terrestrial",NA,NA
"OSAGRID","G9_b",-83.32972222,8.81166667,"2018-02-21",NA,"terrestrial",NA,NA
"OSAGRID","G11_a",-83.57636,8.77597,"2018-02-21","2018-03-20","terrestrial",NA,27
"OSAGRID","G11_b",-83.57636,8.77597,"2018-02-21","2018-07-06","terrestrial",NA,135
"OSAGRID","G12_a",-83.54691,8.77396,"2018-02-10","2018-06-19","terrestrial",NA,129
"OSAGRID","G12_b",-83.54691,8.77396,"2018-02-10","2018-06-19","terrestrial",NA,129
"OSAGRID","G13_a",-83.50666667,8.77583333,"2018-03-06","2018-06-26","terrestrial",NA,112
"OSAGRID","G13_b",-83.50666667,8.77583333,"2018-03-06","2018-06-26","terrestrial",NA,112
"OSAGRID","G14_a",-83.46916667,8.7725,"2018-03-06","2018-06-18","terrestrial",NA,104
"OSAGRID","G14_b",-83.46916667,8.7725,"2018-03-06","2018-04-16","terrestrial",NA,41
"OSAGRID","G16_a",-83.39277778,8.77083333,"2018-03-06","2018-06-18","terrestrial",NA,104
"OSAGRID","G16_b",-83.39277778,8.77083333,"2018-03-06","2018-03-31","terrestrial",NA,25
"OSAGRID","G17_a",-83.36733,8.76676,"2018-03-09","2018-03-17","terrestrial",NA,8
"OSAGRID","G17_b",-83.36733,8.76676,"2018-03-09","2018-03-14","terrestrial",NA,5
"OSAGRID","G18_a",-83.32924,8.77148,"2018-03-09","2018-05-23","terrestrial",NA,75
"OSAGRID","G18_b",-83.32924,8.77148,"2018-03-09","2018-04-18","terrestrial",NA,40
"OSAGRID","G19_a",-83.29163,8.77217,"2018-02-21","2018-06-15","terrestrial",NA,114
"OSAGRID","G19_b",-83.29163,8.77217,"2018-02-21","2018-05-05","terrestrial",NA,73
"OSAGRID","G20_a",-83.25666667,8.77305556,"2018-02-28",NA,"terrestrial",NA,NA
"OSAGRID","G20_b",-83.25666667,8.77305556,"2018-02-28",NA,"terrestrial",NA,NA
