project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2003884,OCCT16_M210_20260116,OCCT16,-83.36115,8.4556,2026-01-16 00:00:00,2026-04-30 00:00:00,None,,Other,off trail,2125278,M210,1,Camera Functioning,Other,98,Parallel,,,,,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT18_M247_20260116,OCCT18,-83.36529,8.46915,2026-01-16 00:00:00,2026-04-30 00:00:00,None,,Other,off trail,2132659,M247,1,Camera Functioning,Other,35,Parallel,,,,,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT10_M211_20250825,OCCT10,-83.34736,8.4086,2025-08-25 00:00:00,2025-10-16 00:00:00,None,,Road dirt,off trail,2125280,M211,1,Camera Functioning,Other,48,Parallel,,,,,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT15_M113_27082022,OCCT15,-83.35772,8.44355,2022-08-27 00:00:00,2022-10-07 00:00:00,None,,Other,,2052005,M113,1,Unknown Failure,Knee height,,Parallel,,,,,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT01_M001_15032022,OCCT01a,-83.33367,8.40969,2022-03-15 00:00:00,2022-04-08 00:00:00,None,,Trail hiking,,2047668,M001a,30,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003884,OCCT01_M002_15032022,OCCT01a,-83.33367,8.40969,2022-03-15 00:00:00,2022-04-08 00:00:00,None,,Trail hiking,,2040851,M002,30,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003884,OCCT01_M003_15032022,OCCT01a,-83.33367,8.40969,2022-03-15 00:00:00,2022-04-08 00:00:00,None,,Trail hiking,,2040852,M003,30,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003884,OCCT09_M370_20250825,OCCT09,-83.3405,8.41069,2025-08-25 00:00:00,2025-10-16 00:00:00,None,,Road dirt,off trail,2138080,M370,1,Camera Functioning,Other,45,Parallel,,,,,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT16_M210_20250627,OCCT16,-83.36115,8.4556,2025-06-27 00:00:00,2025-11-06 00:00:00,None,,Road dirt,off trail,2125278,M210,1,Camera Functioning,Other,98,Parallel,,,,,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT18_M247_20250627,OCCT18,-83.36529,8.46915,2025-06-27 00:00:00,2025-11-06 00:00:00,None,,Road dirt,off trail,2132659,M247,1,Camera Functioning,Other,35,Parallel,,,,,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT12_M225_20250820,OCCT12,-83.33446,8.42229,2025-08-20 00:00:00,2025-11-03 00:00:00,None,,Road dirt,off trail,2125303,M225,1,Camera Functioning,Other,39,Parallel,,,,,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT33_M243_20250821,OCCT33,-83.343922,8.428401,2025-08-21 00:00:00,2025-10-31 00:00:00,None,,Road dirt,off trail,2133055,M243,1,Camera Functioning,Other,46,Parallel,,,,,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT66_M244_20250827,OCCT66,-83.317967,8.404714,2025-08-27 00:00:00,2025-10-21 00:00:00,None,,Road dirt,off trail,2133057,M244,1,Camera Functioning,Other,40,Parallel,,,,,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT27_C181_28082023,OCCT27,-83.33573,8.73433,2023-08-28 00:00:00,2023-12-05 00:00:00,None,,Other,,2019289,C181,1,Unknown Failure,Knee height,,Parallel,,,,0,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT28_MO63_28082023,OCCT28,-83.40675,8.51834,2023-08-28 00:00:00,2023-12-05 00:00:00,None,,Other,,2087991,MO63,1,Unknown Failure,Knee height,,Parallel,,,,0,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT33_OC171_21082023,OCCT33,-83.343922,8.428401,2023-08-21 00:00:00,2023-10-20 00:00:00,None,,Other,,2096578,OC171,1,Unknown Failure,Knee height,,Parallel,,,,,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT06_M036_04122023,OCCT06,-83.29323,8.77809,2023-12-04 00:00:00,2024-03-08 00:00:00,None,,Other,,2087901,M036,1,Unknown Failure,Knee height,,Parallel,,,,0,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT07_C165_04122023,OCCT07,-83.28998,8.76422,2023-12-04 00:00:00,2024-03-08 00:00:00,None,,Other,,2019273,C165,1,Unknown Failure,Knee height,,Parallel,,,,60,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT34_M136_04122023,OCCT34,-83.17559,8.67697,2023-12-04 00:00:00,2023-12-26 00:00:00,None,,Other,,2096155,M136,1,Camera Functioning,Knee height,,Parallel,,,,,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT10_M040_17112023,OCCT10,-83.34736,8.4086,2023-11-17 00:00:00,2024-03-05 00:00:00,None,,Other,,2081080,M040,1,Unknown Failure,Knee height,,Parallel,,,,0,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT68_M199_23122023,OCCT68,-83.326855,8.408702,2023-12-23 00:00:00,2024-02-24 00:00:00,None,,Other,,2098960,M199,1,Camera Functioning,Knee height,,Parallel,,,,0,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT01_M004_15032022,OCCT01a,-83.33367,8.40969,2022-03-15 00:00:00,2022-04-08 00:00:00,None,,Trail hiking,,2040854,M004,30,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2003884,OCCT15_M221_20250627,OCCT15,-83.35772,8.44355,2025-06-27 00:00:00,2025-11-06 00:00:00,None,,Road dirt,off trail,2125298,M221,1,Camera Functioning,Other,35,Parallel,,,,,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
2003884,OCCT07_M278_20250924,OCCT07,-83.28998,8.76422,2025-09-24 00:00:00,2025-11-19 00:00:00,None,,Road dirt,off trail,2132125,M278,1,Camera Functioning,Other,48,Parallel,,,,,Long Term Monitoring,Grid of long term monitoring cameras across the Osa Peninsula,,,,,
